2019-01-29 16:34:28,612 charges_calc.py:61  DEBUG Logger level set to: DEBUG
2019-01-29 16:34:28,617 charges_calc.py:69  DEBUG Loaded source file
2019-01-29 16:34:28,621 charges_calc.py:88  ERROR Load failed, non-conforming data: #1, {'product_code': 'PRD80', 'units_rented': 8, 'price_per_day': 31, 'rental_start': '6/12/17', 'rental_end': '3/22/17', 'total_days': -82, 'total_price': -2542}
2019-01-29 16:34:28,622 charges_calc.py:86  DEBUG Load success: #2, {'product_code': 'PRD11', 'units_rented': 1, 'price_per_day': 16, 'rental_start': '7/20/16', 'rental_end': '9/30/18', 'total_days': 802, 'total_price': 12832, 'sqrt_total_price': 113.27841806805037, 'unit_cost': 12832.0}
2019-01-29 16:34:28,622 charges_calc.py:86  DEBUG Load success: #3, {'product_code': 'PRD22', 'units_rented': 4, 'price_per_day': 40, 'rental_start': '2/1/16', 'rental_end': '6/4/17', 'total_days': 489, 'total_price': 19560, 'sqrt_total_price': 139.85706989637671, 'unit_cost': 4890.0}
2019-01-29 16:34:28,622 charges_calc.py:86  DEBUG Load success: #4, {'product_code': 'PRD86', 'units_rented': 6, 'price_per_day': 40, 'rental_start': '8/14/16', 'rental_end': '12/7/17', 'total_days': 480, 'total_price': 19200, 'sqrt_total_price': 138.5640646055102, 'unit_cost': 3200.0}
2019-01-29 16:34:28,622 charges_calc.py:86  DEBUG Load success: #5, {'product_code': 'PRD70', 'units_rented': 8, 'price_per_day': 7, 'rental_start': '7/12/17', 'rental_end': '11/23/18', 'total_days': 499, 'total_price': 3493, 'sqrt_total_price': 59.10160742314882, 'unit_cost': 436.625}
2019-01-29 16:34:28,622 charges_calc.py:88  ERROR Load failed, non-conforming data: #6, {'product_code': 'PRD51', 'units_rented': 8, 'price_per_day': 20, 'rental_start': '8/26/18', 'rental_end': '7/29/18', 'total_days': -28, 'total_price': -560}
2019-01-29 16:34:28,623 charges_calc.py:88  ERROR Load failed, non-conforming data: #7, {'product_code': 'PRD42', 'units_rented': 1, 'price_per_day': 16, 'rental_start': '7/10/17', 'rental_end': '5/31/17', 'total_days': -40, 'total_price': -640}
2019-01-29 16:34:28,623 charges_calc.py:88  ERROR Load failed, non-conforming data: #8, {'product_code': 'PRD32', 'units_rented': 3, 'price_per_day': 12, 'rental_start': '10/25/18', 'rental_end': '7/4/18', 'total_days': -113, 'total_price': -1356}
2019-01-29 16:34:28,623 charges_calc.py:88  ERROR Load failed, non-conforming data: #9, {'product_code': 'PRD13', 'units_rented': 9, 'price_per_day': 6, 'rental_start': '11/3/18', 'rental_end': '7/28/16', 'total_days': -828, 'total_price': -4968}
2019-01-29 16:34:28,623 charges_calc.py:88  ERROR Load failed, non-conforming data: #10, {'product_code': 'PRD22', 'units_rented': 6, 'price_per_day': 27, 'rental_start': '3/15/18', 'rental_end': '8/27/17', 'total_days': -200, 'total_price': -5400}
2019-01-29 16:34:28,623 charges_calc.py:88  ERROR Load failed, non-conforming data: #11, {'product_code': 'PRD17', 'units_rented': 7, 'price_per_day': 26, 'rental_start': '9/29/17', 'rental_end': '4/29/16', 'total_days': -518, 'total_price': -13468}
2019-01-29 16:34:28,623 charges_calc.py:88  ERROR Load failed, non-conforming data: #12, {'product_code': 'PRD55', 'units_rented': 4, 'price_per_day': 18, 'rental_start': '10/24/17', 'rental_end': '1/15/16', 'total_days': -648, 'total_price': -11664}
2019-01-29 16:34:28,624 charges_calc.py:86  DEBUG Load success: #13, {'product_code': 'PRD81', 'units_rented': 10, 'price_per_day': 10, 'rental_start': '2/3/17', 'rental_end': '8/31/17', 'total_days': 209, 'total_price': 2090, 'sqrt_total_price': 45.71651780264984, 'unit_cost': 209.0}
2019-01-29 16:34:28,624 charges_calc.py:88  ERROR Load failed, non-conforming data: #14, {'product_code': 'PRD0', 'units_rented': 7, 'price_per_day': 37, 'rental_start': '1/30/17', 'rental_end': '7/30/16', 'total_days': -184, 'total_price': -6808}
2019-01-29 16:34:28,624 charges_calc.py:86  DEBUG Load success: #15, {'product_code': 'PRD82', 'units_rented': 10, 'price_per_day': 29, 'rental_start': '5/2/17', 'rental_end': '6/22/18', 'total_days': 416, 'total_price': 12064, 'sqrt_total_price': 109.83624174196785, 'unit_cost': 1206.4}
2019-01-29 16:34:28,624 charges_calc.py:88  ERROR Load failed, non-conforming data: #16, {'product_code': 'PRD52', 'units_rented': 10, 'price_per_day': 11, 'rental_start': '6/18/18', 'rental_end': '2/5/16', 'total_days': -864, 'total_price': -9504}
2019-01-29 16:34:28,624 charges_calc.py:88  ERROR Load failed, non-conforming data: #17, {'product_code': 'PRD5', 'units_rented': 10, 'price_per_day': 36, 'rental_start': '4/28/18', 'rental_end': '4/11/18', 'total_days': -17, 'total_price': -612}
2019-01-29 16:34:28,624 charges_calc.py:88  ERROR Load failed, non-conforming data: #18, {'product_code': 'PRD59', 'units_rented': 9, 'price_per_day': 40, 'rental_start': '8/16/16', 'rental_end': '1/13/16', 'total_days': -216, 'total_price': -8640}
2019-01-29 16:34:28,625 charges_calc.py:88  ERROR Load failed, non-conforming data: #19, {'product_code': 'PRD6', 'units_rented': 8, 'price_per_day': 39, 'rental_start': '12/16/17', 'rental_end': '5/10/16', 'total_days': -585, 'total_price': -22815}
2019-01-29 16:34:28,625 charges_calc.py:88  ERROR Load failed, non-conforming data: #20, {'product_code': 'PRD2', 'units_rented': 9, 'price_per_day': 33, 'rental_start': '6/20/18', 'rental_end': '1/12/16', 'total_days': -890, 'total_price': -29370}
2019-01-29 16:34:28,625 charges_calc.py:88  ERROR Load failed, non-conforming data: #21, {'product_code': 'PRD97', 'units_rented': 3, 'price_per_day': 33, 'rental_start': '8/31/17', 'rental_end': '2/9/16', 'total_days': -569, 'total_price': -18777}
2019-01-29 16:34:28,625 charges_calc.py:86  DEBUG Load success: #22, {'product_code': 'PRD66', 'units_rented': 9, 'price_per_day': 14, 'rental_start': '10/3/16', 'rental_end': '11/1/17', 'total_days': 394, 'total_price': 5516, 'sqrt_total_price': 74.26977851050857, 'unit_cost': 612.8888888888889}
