2019-01-26 09:54:58,804 charges_calc.py:104 INFO called load_rentals_file function
2019-01-26 09:54:58,804 charges_calc.py:63  INFO load json file into data
2019-01-26 09:54:58,804 charges_calc.py:106 INFO called calculate_additional_fields function
2019-01-26 09:54:58,842 charges_calc.py:86  ERROR The rental end date 2017-03-22 00:00:00 is earlier than the rental start date 2017-06-12 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 09:54:58,843 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 09:54:58,844 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 09:54:58,844 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 09:54:58,845 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 09:54:58,846 charges_calc.py:86  ERROR The rental end date 2018-07-29 00:00:00 is earlier than the rental start date 2018-08-26 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 09:54:58,846 charges_calc.py:86  ERROR The rental end date 2017-05-31 00:00:00 is earlier than the rental start date 2017-07-10 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 09:54:58,846 charges_calc.py:86  ERROR The rental end date 2018-07-04 00:00:00 is earlier than the rental start date 2018-10-25 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 09:54:58,847 charges_calc.py:86  ERROR The rental end date 2016-07-28 00:00:00 is earlier than the rental start date 2018-11-03 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 09:54:58,848 charges_calc.py:86  ERROR The rental end date 2017-08-27 00:00:00 is earlier than the rental start date 2018-03-15 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 09:54:58,849 charges_calc.py:86  ERROR The rental end date 2016-04-29 00:00:00 is earlier than the rental start date 2017-09-29 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 09:54:58,849 charges_calc.py:86  ERROR The rental end date 2016-01-15 00:00:00 is earlier than the rental start date 2017-10-24 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 09:54:58,850 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 09:54:58,850 charges_calc.py:86  ERROR The rental end date 2016-07-30 00:00:00 is earlier than the rental start date 2017-01-30 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 09:54:58,851 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 09:54:58,851 charges_calc.py:86  ERROR The rental end date 2016-02-05 00:00:00 is earlier than the rental start date 2018-06-18 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 09:54:58,852 charges_calc.py:86  ERROR The rental end date 2018-04-11 00:00:00 is earlier than the rental start date 2018-04-28 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 09:54:58,852 charges_calc.py:86  ERROR The rental end date 2016-01-13 00:00:00 is earlier than the rental start date 2016-08-16 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 09:54:58,853 charges_calc.py:86  ERROR The rental end date 2016-05-10 00:00:00 is earlier than the rental start date 2017-12-16 00:00:00,                which would resulte in negative number of renting days. This issue is handled
